short,long,Alias,AliasPDA,notes,Country,inMin,LICCode,CodeFavourite,HistoricCode,CodeDescription,CodeID
"LEPTOCULL","Leptospirosis",,,"20112000 GRA Added",,,"OC",0,0,,381
"LHDTE","Last Heat Date",,,,,,,0,0,,382
"LI","Lactation Index",,,,,,,0,0,,383
"LICE","Lice, unspecified",,,"08102000 GRA changed",,,"LC",0,0,,384
"LICENCEDTO","CowPAD Licensed to",,,"25052001 GRA Added",,,,0,0,,385
"LID","Lifetime ID",,,,,,,0,0,,386
"LIMITSIZE","Limit herd size",,,,,,"OC",0,0,,387
"LISTERIA","Listeria",,,,,,"LI",0,0,,388
"LIVER","Liver sample",,,,,,,0,0,,389
"LIVERFLUKE","Liver fluke",,,,,,"LF",0,0,,390
"LLSTN","Last 'x' lacts",,,,,,,0,0,,391
"LOST","Lost",,,,,,,0,0,,392
"LOWPRD","Low production",,,,,,"LP",0,0,,393
"LSTPSM","Last PSM Date",,,,,,,0,0,,394
"LSVDTE","Last Mate Date",,,,,,,0,0,,395
"LUMPYJAW","Lumpy jaw",,,,,,"LJ",0,0,,396
"LUNGWORM","Lungworm",,,,,,"LU",0,0,,397
"MA","Mastitis",,,,,,"MA",0,0,,398
"MACRACARPA","Macrocarpa poisoning",,,"13082000 GRA Fixed",,,,0,0,,399
"MAJOR","Major",,,,,,,0,0,,400
"MAJORSURG","Major surgery",,,,,,,0,0,,401
"MALE","Male Animal",,,,,,,0,0,,402
"MALIGCATARRH","Malignant catarrh",,,"24082000 GRA Fixed",,,"CR",0,0,,403
"MALIGOEDEMA","Malignant oedema",,,,,,"OC",0,0,,404
"MALNUTRITION","Malnutrition",,,,,,"IT",0,0,,405
"MANAGE","Management",,"Mgmt",,,,,0,0,,406
"MANDEC","Management decision",,,"13082000 GRA Fixed",,,,0,0,,407
"MANGE","Mange",,,,,,"SN",0,0,,408
"MAST","Mastitis, unspecified",,,"13082000 GRA Fixed",,,"MA",0,0,,409
"MASTACUTE","Mastitis, clinical",,,"also in cull",,,"MC",0,0,,410
"MASTCHRONIC","Mastitis, subclinical",,,"also in cull,13082000 GRA Fixed",,,"MB",0,0,,411
"MASTITIS","Mastitis",,,"13082000 GRA Added",,,"MA",0,0,,412
"MASTREM","Mastitis",,,,,,"MA",0,0,,413
"MASTTLES","Teat end lesions/Cracks",,,"13082000 GRA Added",,,"TL",0,0,,414
"MASTUDDER","Udder disorder, unspecified",,,"13082000 GRA Added",,,"UD",0,0,,415
"METDIS","Metabolic disorder, unspecified",,,"13082000 GRA Fixed",,,"ME",0,0,,416
"METRITIS","Metritis",,,,,,,0,0,,417
"MILK","Total Milk",,,,,,,0,0,,418
"MILKALLERGY","Milk allergy",,,,,,"SN",0,0,,419
"MILKSA","Milk sample",,,,,,,0,0,,420
"MINERAL","Mineral analysis",,,,,,,0,0,,421
"MINOR","Minor",,,,,,,0,0,,422
"MINORSURG","Minor surgery",,,,,,,0,0,,423
"MITES","Mites",,,"08102000 GRA Added",,,"SN",0,0,,424
"MLKFEV","Milk fever",,,,,,"MF",0,0,,425
"MLKLTD","LTD Milk",,,,,,,0,0,,426
"MLKPT","Prev Tot Milk",,,,,,,0,0,,427
"MLKTOT","Total Milk",,,,,,,0,0,,428
"MLKTST","Test Milk",,,,,,,0,0,,429
"MLTDAV",,,,"Milk LTD Average (l)",,,,0,0,,430
"MLTDT",,,,"Milk LTD Total (l)",,,,0,0,,431
"MOB","Mob",,,,,,,0,0,,432
"MONTH","Month",,,,,,,0,0,,433
"MOUNT","Mount Device",,,"01102001 GRA Added","AUS",,,0,0,,434
"MOUTHUNSPEC","Mouth disorder, unspecified",,,"05092000 GRA Added",,,"MO",0,0,,435
"MSCC","Mean Cell Count",,,,,,,0,0,,436
"MSKELDISEASE","Musculoskeletal",,,"also cull reason",,,"LM",0,0,,437
"MTDAYS","Empty > X Days",,,,,,,0,0,,438
"MTSTAV","Milk Test Averag",,,"Milk Test Average (l)",,,,0,0,,439
"MTSTT","Milk Test Tot",,,"Milk Test Total (l)",,,,0,0,,440
"MULTI","Multiple",,,,,,,0,0,,441
"NA","Not Applicable",,"N/A",,,,,0,0,,442
"NAME","Name",,,,,,,0,0,,443
"NASALGRANUL","Nasal granuloma",,,,,,"RD",0,0,,444
"NAVELINFECT","Naval Infection",,,"24082000 GRA Added",,,"NI",0,0,,445
"NEOSPORA","Neospora",,,,,,,0,0,,446
"NERVOUSD","Nervous disorder, non-metabolic",,,"24082000 GRA Added",,,"ND",0,0,,447
"NEWCOW","New Cow",,,,,,,0,0,,448
"NM","Natural Mating",,,,,,,0,0,,449
"NO","No",,,,,,,0,0,,450
"NOBORN","Number Born",,,,,,,0,0,,451
"NOEVEN","No Events",,,,,,,0,0,,452
"NONCYCLER","Non Cycler",,,"24082000 GRA Added",,,"NC",0,0,,453
"NONE","None",,,,,,,0,0,,454
"NORMAL","Normal",,,,,,,0,0,,455
"NOTPREGNANT","Empty",,,,,,"MT",0,0,,456
"NOTSPE","Not specified",,,,,,,0,0,,457
"NR","Non-Return",,,,,,,0,0,,458
"NSEAS","Non-Seasonal",,,,,,,0,0,,459
"NUMBER","Number",,,,,,,0,0,,460
"NUMSVS","Number Services",,,,,,,0,0,,461
"NURSOF","Nurse Off",,,,,,,0,0,,462
"NURSON","Nurse On",,,,,,,0,0,,463
"NVO","No visible oestrus",,,"13082000 GRA Fixed",,,,0,0,,464
"NYMPHO","Nymphomaniac",,,,,,,0,0,,465
"OBSERVED","Observed",,,"01102001 GRA Added","AUS",,,0,0,,466
"OC","Other Causes",,,,,,"OC",0,0,,467
"OD","Other Diseases",,,,,,"OD",0,0,,468
"OESPHOGEAL","Oesphogeal disorder, unspecified",,,"05092000 GRA Added",,,"OE",0,0,,469
"OFFOOD","Off feed",,,,,,"OC",0,0,,470
"OGCLAW","Overgrown Claw",,,"24082000 GRA Added",,,"OG",0,0,,471
"OLDAGE","Old age",,,,,,"OA",0,0,,472
"ONCE","Once Daily Milk",,,,,,,0,0,,473
"OSTERTAGIA","Ostertagia",,,"05092000 GRA Fixed",,,"OS",0,0,,474
"OTHERC","Other causes",,,,,,"OC",0,0,,475
"OTHERD","Other diseases",,,,,,"OC",0,0,,476
"OTHERR","Other reasons",,,,,,,0,0,,477
"OTHERS","Other sample",,,,,,,0,0,,478
"OVARAD","Ovarian adhesion",,,,,,,0,0,,479
"OVARCYST","Ovarian cyst/Neoplasm",,,"08102000 GRA Added",,,"RP",0,0,,480
"OVARTU","Ovarian tumor",,,,,,,0,0,,481
"OVERDU","Overdue",,,,,,,0,0,,482
"OVERWR","Overwrite",,,,,,,0,0,,483
"PAPSTOMA","Papular stomatitis",,,"10012000 GRA Addde",,,"MO",0,0,,484
"PARAGASTRO","Parasitic gastroenteritis",,,"01102000 GRA Added",,,"IL",0,0,,485
"PARASITEUNKN","Parasite, unspecified",,,"13082000 GRA Added",,,"PA",0,0,,486
"PDRC","Preg Test Recheck",,,"13082000 GRA Fixed",,,,0,0,,487
"PERITONITIS","Peritonitis",,,,,,"OC",0,0,,488
"PHOTOSENSIT","Photosensitivity",,,,,,"SN",0,0,,489
"PI","Production Index",,,,,,,0,0,,490
"PINKEYE","Pink Eye",,,"24082000 GRA Added",,,"PE",0,0,,491
"PLEURITIS","Pleuritis",,,,,,"RD",0,0,,492
"PLTDAV",,,,"Protein LTD Average (kg)",,,,0,0,,493
"PLTDT",,,,"Protein LTD Total (kg)",,,,0,0,,494
"PM","pm",,,,,,,0,0,,495
"PMH","Premating heat",,,,,,,0,0,,496
"PNEUMONBACT","Pneumonia, bacterial",,,"13082000 GRA Fixed",,,"RD",0,0,,497
"PNEUMONIA","Pneumonia, unspecified",,,"13082000 GRA Fixed",,,"RD",0,0,,498
"PNEUMONINTER","Pneumonia, interstitial",,,"13082000 GRA Fixed",,,"RD",0,0,,499
"PNEUMONVIRAL","Pneumonia, viral",,,"13082000 GRA Fixed",,,"RD",0,0,,500
"POISONOTHER","Poisoning, unspecified",,,"13082000 GRA Added",,,"PO",0,0,,501
"POISONRYE","Ryegrass staggers",,,"13082000 GRA Added",,,"RS",0,0,,502
"POLIO","Polioenchephalomalacia",,,"04092000 GRA Added",,,"PM",0,0,,503
"POSSIN","Possibly Include",,,,,,,0,0,,504
"POSTNA","Postnatal Exam  ",,,,,,,0,0,,505
"PREG","Pregnant",,,,,,,0,0,,506
"PREGD","Preg Diagnosis  ",,,,,,,0,0,,507
"PREGTOXAEMIA","Pregnancy toxaemia",,,,,,"PT",0,0,,508
"PREM","Premature",,,,,,,0,0,,509
"PRES","Present",,,,,,,0,0,,510
"PROD","Production",,,,,,,0,0,,511
"PROLAPSEREPL","Replace prolapse",,,,,,,0,0,,512
"PROLRECTUM","Prolapse rectum",,,,,,"IL",0,0,,513
"PROLTD","LTD Protein",,,,,,,0,0,,514
"PROPC","Test Protein %",,,"Test Protein %",,,,0,0,,515
"PROT","Protein",,,,,,,0,0,,516
"PROTOT","Total Protein",,,,,,,0,0,,517
"PROTPT","Prev Tot Protein",,,,,,,0,0,,518
"PROTST","Test Protein",,,,,,,0,0,,519
"PROTTOFAT",,,,"Protein/Fat Ratio",,,,0,0,,520
"PROUT","Prolapsed uterus",,,,,,"PU",0,0,,521
"PROVAG","Prolapsed vagina",,,,,,"RP",0,0,,522
"PSMCHG","Add New PSM",,"PSM",,,,,0,0,,523
"PSMDATE","Planned Start of Mating Date",,,"18052001 GRA Added",,,,0,0,,524
"PSMEDIT","Edit PSM Date",,,"10102000 GRA Changed",,,,0,0,,525
"PSMG","Psmg",,,,,,,0,0,,526
"PSPREG","Possibly Pregnant",,,"13082000 GRA Fixed",,,,0,0,,527
"PTPTCODE","PTPT CODE",,,"18052001 GRA Added","NZ",,,0,0,,528
"PTSTAV",,,,"Protein Test Average (kg)",,,,0,0,,529
"PTSTT",,,,"Protein Test Total (kg)",,,,0,0,,530
"PURCH","Purchased",,,,,,,0,0,,531
"PYOMET","Pyometron",,,"also in cull",,,,0,0,,532
"RAWSCC","Raw Cell Count",,,,,,,0,0,,533
"RDA","Abomasal displacement, right",,,,,,"AM",0,0,,534
"REARED","Reared",,,,,,,0,0,,535
"REASON","Reason Analysis",,,,,,,0,0,,536
"REMCODE","Remove a code",,,,,,,0,0,,537
"REMOVE","Remove From Herd",,"Removed",,,,,0,0,,538
"RENUM","Renumber",,,,,,,0,0,,539
"REPDIS","Repro problem",,,,,,"OC",0,0,,540
"REPRODISEASE","Reproductive disorder, unspecified",,,"04092000 GRA Fixed",,,"RP",0,0,,541
"REPROEXAM","Repro. Exam",,,"10102000 GRA Changed",,,,0,0,,542
"RESPCULL","Respiratory problems",,,"20112000 GRA Added",,,"OC",0,0,,543
"RESPIRATORY","Respiratory, unspecified",,,"13082000 GRA Fixed",,,"RD",0,0,,544
"REST","Rest of Herd",,,,,,,0,0,,545
"RETIRE","Retire a code",,,,,,,0,0,,546
"RETMEM","Retained membranes",,,"13082000 GRA Fixed",,,"RM",0,0,,547
"RIDE","Ride Marks",,,,,,,0,0,,548
"RINGWORM","Ringworm",,,"04092000 GRA Added",,,"RW",0,0,,549
"ROTAVIRUS","Rotavirus",,,"01102000 GRA Added",,,"DI",0,0,,550
"RUMENOTOMY","Rumenotomy",,,,,,,0,0,,551
"RUPSUSLIG","Ruptured suspensory ligament",,,"also in cull",,,"RL",0,0,,552
"RYEGRASSCULL","Rye grass staggers",,,"20112000 GRA Added",,,"GS",0,0,,553
"SALIVARYG","Salivary glands",,,"10012000 GRA Addde",,,"MO",0,0,,554
"SALMONELLA","Salmonella",,,"also in diagnosis, vaccination",,,"SA",0,0,,555
"SALMONELLACULL","Salmonella",,,"20112000 GRA Added",,,"OC",0,0,,556
"SAMPLE","Sample",,,,,,,0,0,,557
"SCALF","Spring Calf",,,,,,,0,0,,558
"SCLASS","Stock Class",,,,,,,0,0,,559
"SCOUR","Diarrhoea/Scours, unspecified",,,,,,"DI",0,0,,560
"SEAS","Seasonal",,,,,,,0,0,,561
"SECZEMA","Spring eczema",,,"24082000 GRA Added",,,"SE",0,0,,562
"SELECT","Select",,,,,,,0,0,,563
"SEPTICAEMIA","Septicaemia",,,,,,"OC",0,0,,564
"SERV","Service",,,,,,,0,0,,565
"SERVED","Served",,,,,,,0,0,,566
"SERVSIRE","Service Sire",,,,,,,0,0,,567
"SERVTYP","Service Type",,,,,,,0,0,,568
"SEVEREINJURY","Severe Injury",,,"13082000 GRA Added",,,"SV",0,0,,569
"SI","Sick",,,,,,"SI",0,0,,570
"SINWKS","Stage In Weeks",,,,,,,0,0,,571
"SIRENA","Sire name",,,,,,,0,0,,572
"SIRLID","Sire Lifetime ID",,,,,,,0,0,,573
"SKINMISC","Skin disorder, unspecified",,,"24082000 GRA Added",,,"SN",0,0,,574
"SKINTB","Skin TB",,,"08102000 GRA Added",,,"SN",0,0,,575
"SLOW","Slow milker",,,,,,"SM",0,0,,576
"SLTDAV",,,,"Milksolids LTD Average (kg)",,,,0,0,,577
"SLTDT",,,,"Milksolids LTD Total (kg)",,,,0,0,,578
"SOLABS","Sole Abscess",,,,,,,0,0,,579
"SOLD","Sold",,,"Code used for adult cow fate. see also CSOLD",,,,0,0,,580
"SOLDBEEF","Sold (beef)",,,,,,,0,0,,581
"SOLIDS","Milksolids",,,,,,,0,0,,582
"SOLLTD","LTD Milksolids",,,,,,,0,0,,583
"SOLPC","Test Mlksolid %",,,"Test Milksolid %",,,,0,0,,584
"SOLPT","Prev Tot Msolids",,,,,,,0,0,,585
"SOLTOT","Total Milksolids",,,,,,,0,0,,586
"SOLTST","Test Milksolids",,,,,,,0,0,,587
"SPECIMEN","Specimen",,,,,,,0,0,,588
"SPECNEG","Speculum exam negative",,,"01112000 GRA Changed",,,,0,0,,589
"SPECPOS","Speculum exam positive",,,"01112000 GRA Changed",,,,0,0,,590
"SPRBEF","Spring Beef",,,,,,,0,0,,591
"SPRBUL","Spring Bull",,,,,,,0,0,,592
"SPRCOW","Spring Cow",,,,,,,0,0,,593
"SPRHFR","Spring Heifer",,,,,,,0,0,,594
"SPRSTR","Spring Steer",,,,,,,0,0,,595
"STEER","Steer",,,,,,,0,0,,596
"STOMATITIS","Stomatitis",,,,,,"IL",0,0,,597
"STREPHPLC","Streptopen HP MC",,,,"NZIRI",,,0,0,,598
"STREPLC","Streptopen MC",,,,"NZIRI",,,0,0,,599
"STSTAV",,,,"Milksolids Test Average (kg)",,,,0,0,,600
"STSTT",,,,"Milksolids Test Total (kg)",,,,0,0,,601
"SUCKER","Sucker",,,"20112000 GRA Added",,,"SK",0,0,,602
"SUCKLICE","Sucking lice",,,"08102000 GRA Added",,,"LC",0,0,,603
"SUMM","Summary",,,,,,,0,0,,604
"SURG","Surgery",,,,,,,0,0,,605
"SWAB","Swab sample",,,,,,,0,0,,606
"T_ABAMEC","Abamectin",,,,,,,0,1,,607
"T_ALBADC","Albadry DC",,,"01102001 GRA Added","AUS",,,0,1,,608
"T_AMOXLA","Amoxycillin LA",,,,,,,0,1,,609
"T_AMOXSA","Amoxycillin SA",,,,,,,0,1,,610
"T_AMPIDC","Ampiclox DC",,,"01102001 GRA Added","AUS",,,0,1,,611
"T_AMPILC","Ampiclox LC",,,"01102001 GRA Added","AUS",,,0,1,,612
"T_BOVECDC","Bovec DC",,,"01102001 GRA Added","AUS",,,0,1,,613
"T_CALCUM","Calcium BG",,,,,,,0,1,,614
"T_CEFTIOFUR","Ceftiofur",,,,"NZIRI",,,0,1,,615
"T_CEPHL","Cephalexin",,,,"NZIRI",,,0,1,,616
"T_CIDR","CIDR",,,,,,,0,1,,617
"T_CLENBUT","Clenbuterol",,,,,,,0,1,,618
"T_CLOSTRIDIAL","Clostridium spp.",,,,,,,0,1,,619
"T_COPSUL","Copper sulphate",,,,,,,0,1,,620
"T_DEXISO","Dex isoconitate",,,,,,,0,1,,621
"T_DEXNAPH","Dex Na phosphate",,,,,,,0,1,,622
"T_DEXTMA","Dex trimethylac",,,,,,,0,1,,623
"T_DEXTROSE50","Dextrose 50%",,,,,,,0,1,,624
"T_DICLOLC","Diclomam 200",,,,,,,0,1,,625
"T_DORAMECT","Doramectin",,,,,,,0,1,,626
"T_EBENZO","E2 benzoate",,,,,,,0,1,,627
"T_ECOLI","E. coli",,,,,,,0,1,,628
"T_ECYPIO","E2 cypionate",,,,,,,0,1,,629
"T_ENRO","Enrofloxacin",,,,"NZIRI",,,0,1,,630
"T_EPHEMERALVACC","Ephemeral Fever Vaccine",,,"01112000 GRA Added",,,,0,1,,631
"T_ERYTH","Erythromycin",,,"also in intramamm",,,,0,1,,632
"T_FSH","FSH",,,,,,,0,1,,633
"T_GNRH","GnRH",,,,,,,0,1,,634
"T_HCG","hCG",,,,,,,0,1,,635
"T_HCGPROG","hCG prgesterone",,,,,,,0,1,,636
"T_IVOMEC","Ivermectin",,,,,,,0,1,,637
"T_LEPTOVACC","Leptospirosis Vaccine",,,"01112000 GRA Added",,,,0,1,,638
"T_LEVAM","Levamisole",,,,,,,0,1,,639
"T_MASTABLC","Mastalone blue",,,"01102001 GRA Added","AUS",,,0,1,,640
"T_MOXIDECT","Moxidectin",,,,,,,0,1,,641
"T_NAHCO3","Sodium bicarb",,,,,,,0,1,,642
"T_NEODC","Neodry DC",,,"01102001 GRA Added","AUS",,,0,1,,643
"T_NITROX","Nitroxynil",,,,,,,0,1,,644
"T_NORGEST","Norgestomet",,,,,,,0,1,,645
"T_NORODC","Noroclox DC",,,,,,,0,1,,646
"T_ORBDC","Orbenin DC",,,"28/7/2004 GRA Added",,,,0,1,,792
"T_ORBEND","Orbenin Enduro",,,"28/7/2004 GRA Added",,,,0,1,,791
"T_ORBLA","Orbenin LA",,,"28/7/2004 GRA Added",,,,0,1,,793
"T_OXFEND","Oxfendazole",,,,,,,0,1,,647
"T_OXYSA","Oxytet SA",,,,,,,0,1,,648
"T_OXYTET","Oxytetracycline",,,,,,,0,1,,649
"T_OXYTOC","Oxytocin",,,,,,,0,1,,650
"T_PENLA","Penicillin LA",,,,,,,0,1,,651
"T_PENSA","Penicillin SA",,,,,,,0,1,,652
"T_PESSAR","Pessaries",,,,,,,0,1,,653
"T_PMSG","PMSG",,,,,,,0,1,,654
"T_PROGEST","Progesterone",,,,,,,0,1,,655
"T_PROPYLGLYC","Propylene glycol",,,,,,,0,1,,656
"T_PROSTA","Prostaglandin",,,,,,,0,1,,657
"T_RAFOX","Rafoxanide",,,,,,,0,1,,658
"T_RICOBEND","Ricobendazol",,,,,,,0,1,,659
"T_SALMONELLAVACC","Salmonella Vaccine",,,"01112000 GRA Added",,,,0,1,,660
"T_STREPENVLC","Strepenvec",,,"01102001 GRA Added","AUS",,,0,1,,661
"T_TRICLABEND","Triclabendazole",,,,,,,0,1,,662
"T_TRISULPHA","Trimeth sulpha",,,,,,,0,1,,663
"T_TYLO","Tylosin",,,,,,,0,1,,664
"T_VETIM","Vetimast",,,,"NZIRI",,,0,1,,665
"T_VIBRIOSIS","Vibriosis",,,,,,,0,1,,666
"TAGHEIFER","Tag Animal",,"Renumber","100.00.168 KJS changed",,,,0,0,,667
"TAIL","Tail Paint",,,"01102001 GRA Added","AUS",,,0,0,,668
"TAILDOCK","Tail docking",,,"10102000 GRA Added",,,,0,0,,669
"TB","Tuberculosis",,,,,,"TB",0,0,,670
"TBREACTOR","TB reactor",,,,,,"TR",0,0,,671
"TDOSE_CAP","capsule(s)","CAP",,"19042001 GWB Added",,,,0,0,,672
"TDOSE_DOSE","unit(dose)","DOSE",,"16072003 GRA Added",,,,0,0,,788
"TDOSE_GRAM","gram(s)","GRAM",,"19042001 GWB Added",,,,0,0,,673
"TDOSE_ML","mL(s)","ML",,"19042001 GWB Added",,,,0,0,,674
"TDOSE_TUBE","tube(s)","TUBE",,"19042001 GWB Added",,,,0,0,,675
"TDOSE_UNIT","device(s)","UNIT",,"19042001 GWB Added",,,,0,0,,676
"TDOSEPERIOD_D","day(s)","24",,"19042001 GWB Added",,,,0,0,,677
"TDOSEPERIOD_H","hour(s)","1",,"19042001 GWB Added",,,,0,0,,678
"TDOSEPERIOD_W","week(s)","168",,"19042001 GWB Added",,,,0,0,,679
"TEATINJURY","Teat injury",,,"also in cull",,,"TI",0,0,,680
"TEATSURGERY","Teat surgery",,,,,,,0,0,,681
"TECH","Technician",,,,,,,0,0,,682
"TEETHD","Teeth disease",,,"10012000 GRA Addde",,,"MO",0,0,,683
"TERRLC","Terrexine",,,,"NZIRI",,,0,0,,684
"TETANUS","Tetanus",,,,,,"OC",0,0,,685
"TICKS","Ticks",,,"08102000 GRA Added",,,"SN",0,0,,686
"TIMEFRAME","Time frame",,,,,,,0,0,,687
"TISSUE","Tissue sample",,,,,,,0,0,,688
"TOCULL","To Be Culled",,,,,,,0,0,,689
"TOTAL","Total",,,,,,,0,0,,690
"TOXIN","Toxicology",,,,,,,0,0,,691
"TOXO","Toxoplasmosis",,,"04092000 GRA Added",,,"TO",0,0,,692
"TPROC","Procedure",,,"25092000 GRA Added",,,,0,0,,693
"TPROCCLVI","Calving Induction",,,"005122000 GRA Added",,,,0,0,,694
"TRANS","Transferred",,,,,,,0,0,,695
"TREAT","Treatment",,,,,,,0,0,,696
"TREGIME_D","day(s)",,,,,,,0,0,,697
"TREGIME_M","month(s)",,,,,,,0,0,,698
"TREGIME_T","treatments",,,,,,,0,0,,699
"TREGIME_W","week(s)",,,,,,,0,0,,700
"UDDERABSC","Udder abscess",,,"also in cull",,,"UA",0,0,,701
"UDDEROEDEMA","Udder oedema",,,,,,"UO",0,0,,702
"UDRBD","Udder breakdown",,,"01112000 GRA Replaced",,,"UD",0,0,,703
"UDRHEALTH","Udder health",,,"01112000 GRA Replaced",,,"UT",0,0,,704
"UINFECTION","Uterine infection",,,"13082000 GRA Added",,,"UI",0,0,,705
"ULCERSOLE","Sole ulcer",,,,,,"SU",0,0,,706
"UNDIAGNOSED","Undiagnosed",,,,,,"SI",0,0,,707
"UNKNWN","Unknown",,,,,,,0,0,,708
"UNKNWNCULL","Unknown",,,"20112000 GRA Added",,,"OC",0,0,,709
"UNRECMATING","Unrecorded Mating",,,"04062004 GRA Added",,,,0,0,,790
"UPSET","Gastrointestinal, unspecified",,,"13082000 GRA Fixed",,,"IL",0,0,,710
"URINE","Urine sample",,,,,,,0,0,,711
"UTABCS","Uterine abscess",,,,,,,0,0,,712
"UTADHN","Uterine adhesions",,,"13082000 GRA Fixed",,,,0,0,,713
"UTNML","Uterus normal",,,,,,,0,0,,714
"VAGINI","Vaginitis",,,,,,,0,0,,715
"VAGINJ","Vaginal injury",,,,,,"VI",0,0,,716
"VAGTER","Vaginal tear",,,,,,,0,0,,717
"VAGUSINDIGES","Vagus indigeston",,,"13082000 GRA Fixed",,,"IL",0,0,,718
"VALLTD","LTD Value",,,,,,,0,0,,719
"VALTST","Test Value",,,,,,,0,0,,720
"VALUE","Value",,,,,,,0,0,,721
"VET","Vet",,,,,,,0,0,,722
"VETIMLC","Vetimast",,,,"NZIRI",,,0,0,,723
"VETVISITALL","All data",,,"10102000 GRA Changed",,,,0,0,,724
"VETVISITDETAIL","Detailed Vet Sheet",,,"10102000 GRA Changed",,,,0,0,,725
"VETVISITFARMER","Farmer's List",,,"10102000 GRA Changed",,,,0,0,,726
"VETVISITSHEET","Vet Sheet",,,"10102000 GRA Changed",,,,0,0,,727
"VIROL","Virology",,,,,,,0,0,,728
"VLTDAV",,,,"Value LTD Average ($)",,,,0,0,,729
"VLTDT",,,,"Value Test Total ($)",,,,0,0,,730
"VRSTOF","Vet Request Off",,,,,,,0,0,,731
"VRSTON","Vet Request On",,,,,,,0,0,,732
"VTSTAV",,,,"Value Test Average ($)",,,,0,0,,733
"VTSTT",,,,"Value Test Total ($)",,,,0,0,,734
"VVCOWS","Cows Examined",,,,,,,0,0,,735
"VVOFF","Vet Visit Off",,,,,,,0,0,,736
"VVRQST","Vet Visit Request",,,"13082000 GRA Fixed",,,,0,0,,737
"VVSUMM","Visit Summary",,,,,,,0,0,,738
"WARTS","Warts",,,"04092000 GRA Added",,,"WA",0,0,,739
"WCGPHY CS GL",,,,"Average monthly CS gain/loss",,,,0,0,,740
"WCGPHY CS NO",,,,"Number scored",,,,0,0,,741
"WCGPHY CS TA",,,,"Target condition score",,,,0,0,,742
"WCGPHY CSAVG",,,,"Average condition score",,,,0,0,,743
"WCGPHY CSMAX",,,,"Maximum condition score",,,,0,0,,744
"WCGPHY CSMIN",,,,"Minimum condition score",,,,0,0,,745
"WCGPHY WT GL",,,,"Average daily weight gain/loss",,,,0,0,,746
"WCGPHY WT NO",,,,"Number weighed",,,,0,0,,747
"WCGPHY WT TA",,,,"Target weight",,,,0,0,,748
"WCGPHY WTAVG",,,,"Average weight",,,,0,0,,749
"WCGPHY WTMAX",,,,"Maximum weight",,,,0,0,,750
"WCGPHY WTMIN",,,,"Minimum weight",,,,0,0,,751
"WCS1","Date",,,,,,,0,0,,752
"WCS10","Daily Change",,,,,,,0,0,,753
"WCS2","Number",,,,,,,0,0,,754
"WCS3","Age",,,,,,,0,0,,755
"WCS4","DSC",,,,,,,0,0,,756
"WCS5","Mean",,,,,,,0,0,,757
"WCS6","Std Dev",,,,,,,0,0,,758
"WCS7","Min",,,,,,,0,0,,759
"WCS8","Max",,,,,,,0,0,,760
"WCS9","Interval Change",,,,,,,0,0,,761
"WEEK","Week",,,,,,,0,0,,762
"WGT","Weight",,,"10102000 GRA Changed",,,,0,0,,763
"WGTLOS","Weight loss",,,,,,"IT",0,0,,764
"WHANIMAL","Withhold animal",,,"07022001 GRA Added",,,,0,0,,765
"WOODENTONGUE","Wooden tongue",,,,,,"WT",0,0,,766
"WTLINE","White line disease",,,"13082000 GRA Fixed",,,"WL",0,0,,767
"YERSIN","Yersinia",,,"13082000 GRA Added",,,"YS",0,0,,768
"YES","Yes",,,,,,,0,0,,769
"YTDO","Yet to do",,,,,,,0,0,,770
"ZOONOSES","Infectious, unspecified",,,"08102000 GRA Added",,,"XX",0,0,,771
